    Sample                Brain stem               Hippocampus              Hypothalamus                    Cortex                  Thalamus
      4834                    406431                    949925                    111094                   1457064                     18971 
      4836                    143051                    336369                     29676                   1220571                     17786 
      4837                    413160                    748772                    103304                   1733451                     48431 
      4838                      3351                      2173                      1719                    106451                       726 
      4840                      7002                     16743                      2628                    376823                      2198 
      4843                     14341                     11672                       551                    180438                      1068 
      4844                     49516                    172255                      9049                    564125                      6260 
      4847                      6781                      4187                       927                    179919                       623 
      4848                     16672                     11007                       940                    123890                       481 
      4849                    117630                    276326                     20519                    793319                     11111 
      4850                     33464                     16988                     23715                    410354                      3529 
      4851                     17418                     98745                      4354                    125186                      3270 
      4858                     18799                     25616                    115833                    211321                     18276 
      4864                    405480                    931173                     52956                   3705559                     50490 
      4868                      7903                     43944                      4724                    118687                      5330 
      4871                     13949                      8776                      3735                     37851                      1020 
      4873                     77417                     50668                      8189                    249764                     26917 
